name,year,set,card_number,player,sport,parallel,grade,grader,condition,quantity,acquired_price,image_url,notes,scp_id,collx_id,collx_market_value,collx_asking_price
2024 Panini Select - Turbocharged Travis Kelce #13,2024,2024 Panini Select - Turbocharged,13,Travis Kelce,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082981247304936448-1-90J.jpg,,,1082981247304936448,0.99,
2025 Panini Phoenix KeAndre Lambert-Smith #229 (RC),2025,2025 Panini Phoenix,229,KeAndre Lambert-Smith,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082981315504319488-1-Ciuj.jpg,,,1082981315504319488,1.50,
Patrick Surtain II,,,,Patrick Surtain II,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082981390775299072-1-cor.jpg,,,1082981390775299072,,
2025 Panini Select - Pink Prizm Shock Cole Kmet #174,2025,2025 Panini Select - Pink Prizm Shock,174,Cole Kmet,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082981442465901568-1-wRAX.jpg,,,1082981442465901568,1.99,
2025 Panini Prizm - Silver Jerry Jeudy #146,2025,2025 Panini Prizm - Silver,146,Jerry Jeudy,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082981460845341696-1-KsN9.jpg,,,1082981460845341696,1.25,
2024 Panini Select - Select Numbers Lamar Jackson #11,2024,2024 Panini Select - Select Numbers,11,Lamar Jackson,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082981512225565696-1-50NJ.jpg,,,1082981512225565696,1.25,
2025 Panini Select Matthew Golden #66 (RC),2025,2025 Panini Select,66,Matthew Golden,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082981539924749312-1-NEX4.jpg,,,1082981539924749312,1.25,
2025 Topps Chrome - Topps Refractor Tez Johnson #342 (RC),2025,2025 Topps Chrome - Topps Refractor,342,Tez Johnson,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082981561424751616-1-pi7.jpg,,,1082981561424751616,1.13,
2025 Donruss Devin Hester #51,2025,2025 Donruss,51,Devin Hester,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082981579376372736-1-WPUM.jpg,,,1082981579376372736,0.36,
2024 Panini Select Rome Odunze #3 (RC),2024,2024 Panini Select,3,Rome Odunze,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1082981598217186304-1-m0OR.jpg,,,1082981598217186304,1.49,
