run 1: Markdown plan: 829 to apply | Result: 49/50
run 2: Markdown plan: 805 to apply | Result: 49/50
run 3: Markdown plan: 784 to apply | Result: 49/50
run 4: Markdown plan: 766 to apply | Result: 49/50
run 5: Markdown plan: 736 to apply | Result: 49/50
run 6: Markdown plan: 708 to apply | Result: 49/50
run 7: Markdown plan: 684 to apply | Result: 49/50
run 8: Markdown plan: 655 to apply | Result: 49/50
run 9: Markdown plan: 616 to apply | Result: 49/50
run 10: Markdown plan: 582 to apply | Result: 49/50
run 11: Markdown plan: 542 to apply | Result: 49/50
run 12: Markdown plan: 503 to apply | Result: 49/50
run 13: Markdown plan: 464 to apply | Result: 49/50
run 14: Markdown plan: 429 to apply | Result: 49/50
run 15: Markdown plan: 398 to apply | Result: 49/50
run 16: Markdown plan: 383 to apply | Result: 49/50
run 17: Markdown plan: 366 to apply | Result: 48/50
run 18: Markdown plan: 348 to apply | Result: 48/50
run 19: Markdown plan: 338 to apply | Result: 48/50
run 20: Markdown plan: 332 to apply | Result: 48/50
