run 1: Markdown plan: 307 to apply | Result: 49/50
run 2: Markdown plan: 268 to apply | Result: 49/50
run 3: Markdown plan: 231 to apply | Result: 49/50
run 4: Markdown plan: 191 to apply | Result: 49/50
run 5: Markdown plan: 156 to apply | Result: 49/50
run 6: Markdown plan: 117 to apply | Result: 49/50
run 7: Markdown plan: 77 to apply | Result: 49/50
run 8: Markdown plan: 39 to apply | Result: 37/39
run 9: Markdown plan: 21 to apply | Result: 19/21
run 10: Markdown plan: 19 to apply | Result: 17/19
run 11: Markdown plan: 19 to apply | Result: 17/19
run 12: Markdown plan: 19 to apply | Result: 17/19
run 13: Markdown plan: 12 to apply | Result: 10/12
run 14: Markdown plan: 6 to apply | Result: 4/6
run 15: Markdown plan: 6 to apply | Result: 4/6
run 16: Markdown plan: 6 to apply | Result: 4/6
run 17: Markdown plan: 6 to apply | Result: 4/6
run 18: Markdown plan: 6 to apply | Result: 4/6
run 19: Markdown plan: 4 to apply | Result: 2/4
run 20: Markdown plan: 4 to apply | Result: 2/4
