Prizm pull list (scans 268-306) — 254 cards

1. Troy Aikman Lazer  |  Dallas Cowboys  |  Scan 305 #5
2. Drew Allar RC  |  Penn State  |  Scan 284 #7
3. Luke Altmyer RC  |  Illinois  |  Scan 304 #9
4. Trey Amos RC  |  Washington Commanders  |  Scan 282 #8
5. Trey Amos RC  |  Ole Miss  |  Scan 304 #7
6. Elijah Arroyo RC  |  Seattle Seahawks  |  Scan 278 #4
7. Elijah Arroyo RC  |  Miami  |  Scan 268 #1
8. Elic Ayomanor RC  |  Tennessee Titans  |  Scan 300 #9
9. Elic Ayomanor RC  |  Stanford  |  Scan 302 #9
10. Elijhah Badger RC  |  Florida  |  Scan 274 #9
11. Saquon Barkley  |  Philadelphia Eagles  |  Scan 298 #2
12. Jahdae Barron RC  |  Denver Broncos  |  Scan 286 #3
13. Jahdae Barron RC  |  Texas  |  Scan 300 #8
14. Jack Bech RC  |  TCU  |  Scan 286 #2
15. Jerome Bettis  |  Notre Dame  |  Scan 285 #6
16. Daron Bland  |  Dallas Cowboys  |  Scan 301 #3
17. LeGarrette Blount  |  Tampa Bay Buccaneers  |  Scan 288 #8
18. Jaydon Blue RC  |  Dallas Cowboys  |  Scan 281 #5
19. Andres Borregales RC  |  Miami  |  Scan 274 #5
20. Dwayne Bowe Lazer  |  Kansas City Chiefs  |  Scan 281 #2
21. Brock Bowers  |  Las Vegas Raiders  |  Scan 298 #3
22. Billy Bowman Jr. RC  |  Oklahoma  |  Scan 276 #1
23. Jake Briningstool RC  |  Clemson  |  Scan 289 #1
24. Ja'Corey Brooks RC  |  Louisville  |  Scan 280 #2
25. Tahj Brooks Disco RC  |  Cincinnati Bengals  |  Scan 283 #3
26. Tahj Brooks RC  |  Cincinnati Bengals  |  Scan 277 #3
27. Tahj Brooks RC  |  Texas Tech  |  Scan 274 #8
28. Vernon Broughton RC  |  Texas  |  Scan 273 #3
29. Amon-Ra St. Brown  |  Detroit Lions  |  Scan 297 #6
30. Sammy Brown  |  Clemson  |  Scan 280 #8
