TONIGHT'S LISTING QUEUE — 170 cards (batches 167-185) — awaiting JC card-by-card OK

=== CHASE (10) ===
  $ 99.99  2025 Topps Signature Class Dak Prescott Roses Acetate SSP Dallas Cowboys Football  [batch185#0]
  $ 34.99  2025 Topps Signature Class Jackson Hawes RC Auto /100 Buffalo Bills Football  [batch179#0]
  $ 28.99  2025 Topps Signature Class Brock Bowers Orange 12/50 Las Vegas Raiders Football  [batch185#4]
  $ 24.99  2025 Panini Donruss Threads Christian McCaffrey Relic 49ers Football  [batch175#0]
  $ 14.99  2025 Panini Optic Dillon Gabriel First Year Fresh RC Relic Browns Football  [batch170#0]
  $ 14.99  2025 Panini Donruss Optic Howie Long Orange 37/79 Raiders Football  [batch173#0]
  $ 14.99  2024 Panini Select Willie Gault Auto Chicago Bears Football  [batch181#0]
  $ 12.99  2025 Panini Prizm Malaki Starks Rookie Gear RC Jersey Relic Ravens Football  [batch175#1]
  $ 11.99  2025 Panini Optic Mason Taylor First Year Fresh RC Relic Jets Football  [batch175#2]
  $  7.99  2025 Panini Prizm Shemar Stewart Rookie Gear RC Jersey Relic Bengals Football  [batch175#3]

=== HOT (32) ===
  $ 11.99  2025 Panini Select Travis Hunter Club Level RC Jacksonville Jaguars Football  [batch168#4]
  $  9.99  2025 Panini Prizm Josh Allen Fractal Buffalo Bills Football  [batch171#0]
  $  9.99  2025 Panini Prizm Tyreek Hill Purple Miami Dolphins Football  [batch174#0]
  $  9.99  2025 Topps Signature Class Paramount Pairings Aaron Rodgers DK Metcalf Pittsburgh Steelers Football  [batch185#1]
  $  8.99  2025 Panini Optic Shedeur Sanders Light It Up RC Cleveland Browns Football  [batch170#3]
  $  8.99  2024 Panini Select Patrick Mahomes Numbers Kansas City Chiefs Football  [batch183#6]
  $  7.99  2025 Panini Donruss Optic Travis Hunter Rated Rookie RC Jaguars Football  [batch169#7]
  $  7.99  2025 Panini Phoenix Drake Maye Paragon New England Patriots Football  [batch172#0]
  $  6.99  2025 Panini Donruss Optic Shedeur Sanders Rookie Recruits RC Browns Football  [batch167#7]
  $  6.99  2024 Panini Select Jayden Daniels Future RC Washington Commanders Football  [batch169#0]
  $  6.99  2025 Panini Donruss Optic Emeka Egbuka Blue Rated Rookie RC Buccaneers Football  [batch169#4]
  $  5.99  2025 Panini Donruss Optic Cam Ward Rated Rookie RC Tennessee Titans Football  [batch167#0]
  $  5.99  2025 Panini Prizm Emeka Egbuka Purple RC Tampa Bay Buccaneers Football  [batch174#2]
